cipher:simon32, rounds:10, inputDiff:0x80002003, outputDiff:0x20028000, boomerang weight:-28, rectangle weight:-20.00564656314114, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00014004, outputDiff:0x00400010, boomerang weight:-28, rectangle weight:-15.876363546196176, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x01000440, outputDiff:0x10014000, boomerang weight:-28, rectangle weight:-17.551690074569997, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00404110, outputDiff:0x11000400, boomerang weight:-28, rectangle weight:-14.540760514411737, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x02000880, outputDiff:0x80002000, boomerang weight:-28, rectangle weight:-25.5906090638623, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00100044, outputDiff:0x10000400, boomerang weight:-28, rectangle weight:-26.0, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00100044, outputDiff:0x00014000, boomerang weight:-28, rectangle weight:-24.5906090638623, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00040011, outputDiff:0x00180004, boomerang weight:-28, rectangle weight:-14.562703067292414, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00080022, outputDiff:0x00828000, boomerang weight:-28, rectangle weight:-24.327574658028503, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00080022, outputDiff:0x04180004, boomerang weight:-28, rectangle weight:-25.5906090638623, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00200088, outputDiff:0x20028000, boomerang weight:-28, rectangle weight:-16.118933849470253, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00040011, outputDiff:0x00440010, boomerang weight:-28, rectangle weight:-14.81253193432694, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x00040011, outputDiff:0x40001000, boomerang weight:-28, rectangle weight:-17.524519873404525, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x40001001, outputDiff:0x40040001, boomerang weight:-28, rectangle weight:-20.268680968974937, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x04001100, outputDiff:0x10600010, boomerang weight:-28, rectangle weight:-14.946752874087574, switchStartRound:5, SwitchRounds:1
cipher:simon32, rounds:10, inputDiff:0x02000880, outputDiff:0x88002000, boomerang weight:-28, rectangle weight:-19.01522553995316, switchStartRound:5, SwitchRounds:1
