0x000000904000,0x100000000824,0x000001608000,0x200000000048,81,-60,-39.39459612315089
0x000008904000,0x100000000824,0x000000904000,0x100000000024,81,-58,-39.57828695564696
0x000000904000,0x100000000824,0x000000904000,0x100000000024,81,-58,-39.57828695564696
0x000000482000,0x080000000412,0x000000904000,0x100000000024,81,-60,-40.47503841294742
0x000014482000,0x080000000412,0x000000904000,0x100000000024,81,-60,-40.47503841294742
0x000000904000,0x100000000824,0x000005820000,0x800000004120,81,-60,-41.4263759279388
0x000000904000,0x100000000824,0x000005820000,0x801060004125,81,-60,-41.4263759279388
0x000008B04000,0x100000000824,0x000000904000,0x100000000024,81,-60,-41.57828695564696
0x000018B04000,0x100000000824,0x000000904000,0x100000000024,81,-60,-41.57828695564696
0x000000904000,0x100000000824,0x000009040000,0x000000008249,81,-60,-42.35119334707957
