0x10040080,0x00400840,0x00008801,0x00300420,83,-42,-28.37886388672536
0x08024040,0x00200420,0x40000200,0x00080108,83,-42,-29.06852376611321
0x88024040,0x00200420,0x40000200,0x00080108,83,-42,-29.06852376611321
0x88030040,0x00200420,0x40000200,0x00880109,83,-42,-29.06852376611321
0x10040080,0x00400840,0x40000200,0x00080108,83,-42,-29.312815711634997
0x10040080,0x00400840,0x40000200,0x00880109,83,-42,-29.312815711634997
0x10042080,0x00400840,0x40000200,0x00080108,83,-42,-29.312815711634997
0x10048080,0x00400840,0x40000200,0x00080108,83,-42,-29.312815711634997
0x88020040,0x00200420,0x00000801,0x00200420,83,-42,-30.52173596841828
0x08020040,0x00200420,0x00002004,0x00C01081,83,-42,-30.54355734445503
